DRG14601	直腸切除術，年齡大於等於41歲，有合併症或併發症
DRG14602	直腸切除術，年齡 0-40 歲，有合併症或併發症
DRG14701	直腸切除術，年齡大於等於41歲，無合併症或併發症
DRG14702	直腸切除術，年齡 0-40 歲，無合併症或併發症
DRG14801	小腸及大腸重大之手術(1)，有合併症或併發症
DRG14901	小腸及大腸重大之手術(1)，無合併症或併發症
DRG14802	小腸及大腸重大之手術(2)，有合併症或併發症
DRG14902	小腸及大腸重大之手術(2)，無合併症或併發症
DRG14803	小腸及大腸重大之手術(3)，有合併症或併發症
DRG14903	小腸及大腸重大之手術(3)，無合併症或併發症
DRG14804	小腸及大腸重大之手術(4)，有合併症或併發症
DRG14904	小腸及大腸重大之手術(4)，無合併症或併發症
DRG14805	小腸及大腸重大之手術(5)，年齡大於70 歲，有合併症或併發症
DRG14806	小腸及大腸重大之手術(5)，年齡 41-70 歲，有合併症或併發症
DRG14807	小腸及大腸重大之手術(5)，年齡 0-40 歲，有合併症或併發症
DRG14905	小腸及大腸重大之手術(5)，年齡大於70歲，無合併症或併發症
DRG14906	小腸及大腸重大之手術(5)，年齡 41-70 歲，無合併症或併發症
DRG14907	小腸及大腸重大之手術(5)，年齡 0-40 歲，無合併症或併發症
DRG150	腹膜黏連鬆解術，有合併症或併發症
DRG151	腹膜黏連鬆解術，無合併症或併發症
DRG152	小腸及大腸小手術，有合併症或併發症
DRG153	小腸及大腸小手術，無合併症或併發症
DRG15401	胃、食道及十二指腸手術(1)，年齡大於等於18歲，有合併症或併發症
DRG15501	胃、食道及十二指腸手術(1)，年齡大於等於18歲，無合併症或併發症
DRG15601	胃、食道及十二指腸手術(1)，年齡0-17歲，有合併症或併發症
DRG15602	胃、食道及十二指腸手術(1)，年齡0-17歲，無合併症或併發症
DRG15405	胃、食道及十二指腸手術(2)，年齡大於70歲，有合併症或併發症
DRG15505	胃、食道及十二指腸手術(2)，年齡大於70歲，無合併症或併發症
DRG15406	胃、食道及十二指腸手術(2)，年齡41-70歲，有合併症或併發症
DRG15506	胃、食道及十二指腸手術(2)，年齡41-70歲，無合併症或併發症
DRG15402	胃、食道及十二指腸手術(2)，年齡18-40歲，有合併症或併發症
DRG15502	胃、食道及十二指腸手術(2)，年齡18-40歲，無合併症或併發症
DRG15603	胃、食道及十二指腸手術(2)，年齡0-17歲，有合併症或併發症
DRG15604	胃、食道及十二指腸手術(2)，年齡0-17歲，無合併症或併發症
DRG15403	胃、食道及十二指腸手術(3)，年齡大於等於18歲，有合併症或併發症
DRG15503	胃、食道及十二指腸手術(3)，年齡大於等於18歲，無合併症或併發症
DRG15605	胃、食道及十二指腸手術(3)，年齡0-17歲，有合併症或併發症
DRG15606	胃、食道及十二指腸手術(3)，年齡0-17歲，無合併症或併發症
DRG15407	胃、食道及十二指腸手術(4)，年齡大於70 歲，有合併症或併發症
DRG15507	胃、食道及十二指腸手術(4)，年齡大於70 歲，無合併症或併發症
DRG15408	胃、食道及十二指腸手術(4)，年齡 41-70 歲，有合併症或併發症
DRG15508	胃、食道及十二指腸手術(4)，年齡 41-70 歲，無合併症或併發症
DRG15404	胃、食道及十二指腸手術(4)，年齡18-40歲，有合併症或併發症
DRG15504	胃、食道及十二指腸手術(4)，年齡18-40歲，無合併症或併發症
DRG15607	胃、食道及十二指腸手術(4)，年齡0-17歲，有合併症或併發症
